Month,story_id,Region,Event count
Apr-2026,40195636,Madhya Pradesh,27642
Apr-2026,40216147,Uttar Pradesh,27534
Apr-2026,40209701,Rajasthan,27487
Apr-2026,40216403,Bihar,27464
Apr-2026,40215595,Bihar,27417
Apr-2026,40207826,Delhi Division,27404
Apr-2026,40198599,Maharashtra,27261
Apr-2026,40203764,Rajasthan,27153
Apr-2026,40209590,Bihar,27118
Apr-2026,40210554,Maharashtra,27106
Apr-2026,40196950,Uttar Pradesh,27071
Apr-2026,40207149,Rajasthan,26998
Apr-2026,40211536,Uttar Pradesh,26867
Apr-2026,30000391,Madhya Pradesh,26689
Apr-2026,40198599,Uttar Pradesh,26606
Apr-2026,40193887,Bihar,26593
Apr-2026,40191355,Uttar Pradesh,26522
Apr-2026,40203042,Uttar Pradesh,26487
Apr-2026,40211402,Uttar Pradesh,26402
Apr-2026,40192314,Uttar Pradesh,26391
Apr-2026,40194896,Uttar Pradesh,26383
Apr-2026,40189236,Madhya Pradesh,26379
Apr-2026,40215835,Uttar Pradesh,26355
Apr-2026,40204005,Madhya Pradesh,26344
Apr-2026,40218409,Punjab,26330
Apr-2026,40215640,Uttar Pradesh,26127
Apr-2026,40216781,Uttar Pradesh,26105
Apr-2026,40217335,Uttar Pradesh,26070
Apr-2026,40219719,Bihar,25986
Apr-2026,40206373,Maharashtra,25962
Apr-2026,40197992,Maharashtra,25938
Apr-2026,40199585,Delhi Division,25867
Apr-2026,40210281,Bihar,25867
Apr-2026,40206713,Uttar Pradesh,25794
Apr-2026,40205911,Uttar Pradesh,25653
Apr-2026,40192482,Bihar,25651
Apr-2026,40206373,Uttar Pradesh,25616
Apr-2026,40205296,Bihar,25497
Apr-2026,40191142,Uttar Pradesh,25486
Apr-2026,40207091,Uttar Pradesh,25473
Apr-2026,40204005,Bihar,25438
Apr-2026,40189777,Uttar Pradesh,25414
Apr-2026,40218911,Uttar Pradesh,25402
Apr-2026,40194503,Rajasthan,25379
Apr-2026,40210238,Madhya Pradesh,25354
Apr-2026,40197992,Delhi Division,25296
Apr-2026,40210075,Bihar,25247
Apr-2026,40206690,Delhi Division,25246
Apr-2026,40221518,Uttar Pradesh,25105
Apr-2026,40196951,Uttar Pradesh,25020
Apr-2026,40206676,Bihar,24867
Apr-2026,40202410,Uttar Pradesh,24794
Apr-2026,40196378,Uttar Pradesh,24723
Apr-2026,40211828,Uttar Pradesh,24712
Apr-2026,40204005,Gujarat,24711
Apr-2026,40205184,Uttar Pradesh,24663
Apr-2026,40218580,Uttar Pradesh,24520
Apr-2026,40190710,Haryana,24472
Apr-2026,40202660,Maharashtra,24461
Apr-2026,40203205,Uttar Pradesh,24449
Apr-2026,40204577,Bihar,24448
Apr-2026,40199843,Delhi Division,24365
Apr-2026,40192133,Uttar Pradesh,24282
Apr-2026,40209701,Haryana,24271
Apr-2026,40214831,Uttar Pradesh,24223
Apr-2026,40200317,Uttar Pradesh,24222
Apr-2026,40194906,Uttar Pradesh,24211
Apr-2026,40206995,Delhi Division,24115
Apr-2026,40217681,Uttar Pradesh,24114
Apr-2026,40216342,Delhi Division,24094
Apr-2026,40212022,Bihar,24008
Apr-2026,40210995,Rajasthan,23936
Apr-2026,40191738,Uttar Pradesh,23877
Apr-2026,40211540,Uttar Pradesh,23864
Apr-2026,40216373,Uttar Pradesh,23856
Apr-2026,40205812,Delhi Division,23855
Apr-2026,40213958,Uttar Pradesh,23841
Apr-2026,40191298,Gujarat,23579
Apr-2026,40194675,Delhi Division,23555
Apr-2026,40220177,Uttar Pradesh,23483
Apr-2026,40204209,Uttar Pradesh,23390
Apr-2026,40215740,Uttar Pradesh,23387
Apr-2026,40220557,Delhi Division,23323
Apr-2026,40191724,Uttar Pradesh,23317
Apr-2026,40216342,Bihar,23261
Apr-2026,40193422,Uttar Pradesh,23257
Apr-2026,40220185,Haryana,23257
Apr-2026,40213429,Madhya Pradesh,23246
Apr-2026,40217310,Bihar,23234
Apr-2026,40205535,Bihar,23209
Apr-2026,40191751,Delhi Division,23174
Apr-2026,40203463,Maharashtra,23162
Apr-2026,40204603,Maharashtra,23055
Apr-2026,40220557,Bihar,23022
Apr-2026,40220245,Uttar Pradesh,22865
Apr-2026,40206690,Rajasthan,22864
Apr-2026,40218916,Uttar Pradesh,22852
Apr-2026,40211093,Uttar Pradesh,22817
Apr-2026,40210908,Uttar Pradesh,22673
Apr-2026,40206250,Jharkhand,22638
Apr-2026,40190408,Uttar Pradesh,22637
Apr-2026,40195114,Uttar Pradesh,22603
Apr-2026,40219918,Gujarat,22602
Apr-2026,40219080,Bihar,22566
Apr-2026,40210661,Bihar,22519
Apr-2026,40219388,Uttar Pradesh,22483
Apr-2026,40209922,Bihar,22436
Apr-2026,40215033,Uttar Pradesh,22412
Apr-2026,40194503,Gujarat,22340
Apr-2026,40220433,Uttar Pradesh,22317
Apr-2026,40217242,Uttar Pradesh,22304
Apr-2026,40215862,Haryana,22294
Apr-2026,40217383,Bihar,22197
Apr-2026,40207867,Uttar Pradesh,22173
Apr-2026,40215208,Uttar Pradesh,22137
Apr-2026,40192305,Madhya Pradesh,22115
Apr-2026,40203260,Maharashtra,22113
